resid,lipid_type,mean_heads,mean_tails,std_heads,std_tails,ratio_heads_tails,ratio_std_heads_tails,corr_heads_tails,min_heads,max_heads,range_heads,min_tails,max_tails,range_tails,target
49,DPSM,1.7281898594641777e-05,1.632805972648763e-05,2.1512202689097717e-05,2.3620655831298e-05,1.0584171594256735,0.9107368924360463,0.9237951777383748,0.0,0.00016796904441381878,0.00016796904441381878,0.0,0.00018599499009141387,0.00018599499009141387,0
50,DPSM,1.7321171368617605e-05,1.642101690032365e-05,2.1509654180543717e-05,2.3666267334119634e-05,1.0548172183098,0.908873962964716,0.9233318140067366,0.0,0.0001611695859419924,0.0001611695859419924,0.0,0.00018559661286458138,0.00018559661286458138,0
51,DPSM,1.7263025966976982e-05,1.633585283361354e-05,2.1417401577563807e-05,2.3579726854784835e-05,1.0567569469930362,0.9082972720363702,0.9232187769880984,0.0,0.00015495898118891475,0.00015495898118891475,0.0,0.00019114963047843457,0.00019114963047843457,0
54,DPSM,1.7348919911888635e-05,1.6436054460582674e-05,2.1500565876847975e-05,2.368901280402765e-05,1.0555404250755689,0.9076176392286135,0.9237328360759162,0.0,0.0001598735720712897,0.0001598735720712897,0.0,0.0001846827271656315,0.0001846827271656315,0
56,DPSM,1.7223450086310118e-05,1.6149406595319822e-05,2.1371135927671702e-05,2.3275289124063944e-05,1.0665066846048423,0.9181899229589561,0.9228653846079055,0.0,0.0001661505992870974,0.0001661505992870974,0.0,0.00018100558523595608,0.00018100558523595608,0
57,DPSM,1.7271060989975783e-05,1.6395674448944106e-05,2.1377564800052988e-05,2.362125632255328e-05,1.0533913102359782,0.9050138785227082,0.9230178451883199,0.0,0.000160842888527365,0.000160842888527365,0.0,0.00018154320167275732,0.00018154320167275732,0
59,DPSM,1.7249870236886798e-05,1.637986855199244e-05,2.1352217430396436e-05,2.3633755425235382e-05,1.0531140822121268,0.9034627398909785,0.9233433859719999,0.0,0.0001614737731908475,0.0001614737731908475,0.0,0.0001822506695589362,0.0001822506695589362,0
61,DPSM,1.7307621493343374e-05,1.634964070976379e-05,2.1459374703464836e-05,2.3591677086909064e-05,1.0585933844410105,0.9096163288608492,0.923116536940215,0.0,0.000160951340586812,0.000160951340586812,0.0,0.00018844984114453828,0.00018844984114453828,0
63,DPSM,1.722506133486473e-05,1.6369400279392645e-05,2.1304623215810495e-05,2.3577245794293635e-05,1.0522719855869902,0.9036094971265397,0.9229195894345771,0.0,0.00015565207240906653,0.00015565207240906653,0.0,0.00018415497370139164,0.00018415497370139164,0
66,DPSM,1.7277462784231137e-05,1.6374233291934845e-05,2.14234517329206e-05,2.3678927039492815e-05,1.0551616357354074,0.9047475714245654,0.9226062742856078,0.0,0.00015682035033232514,0.00015682035033232514,0.0,0.00018483312026592924,0.00018483312026592924,0
67,DPSM,1.7328242582611704e-05,1.6496288401258508e-05,2.1515634393595195e-05,2.3799869717251956e-05,1.050432810164117,0.9040232005135317,0.9238123756187642,0.0,0.00016166487259869908,0.00016166487259869908,0.0,0.00019430788558468722,0.00019430788558468722,0
68,DPSM,1.730636387448123e-05,1.6359948992037937e-05,2.146125854097537e-05,2.3607024580976837e-05,1.057849500808584,0.9091047652938615,0.9235411276073627,0.0,0.0001719648506313032,0.0001719648506313032,0.0,0.00018634138257912208,0.00018634138257912208,0
69,DPSM,1.727593201804771e-05,1.6302071685729565e-05,2.1420799377910282e-05,2.352732816748003e-05,1.059738440064071,0.9104645978253733,0.9228695675598562,0.0,0.00015506111767013846,0.00015506111767013846,0.0,0.00018423154786473825,0.00018423154786473825,0
71,DPSM,1.728223753137191e-05,1.6407692999063564e-05,2.1476221286909782e-05,2.3659145202405687e-05,1.0533008834549902,0.9077344554580973,0.923761216845839,0.0,0.00015647076419441245,0.00015647076419441245,0.0,0.0001900255239771738,0.0001900255239771738,0
72,DPSM,1.7335556418457204e-05,1.647346890425139e-05,2.153450380818442e-05,2.3772729071982774e-05,1.052331874920608,0.9058490400062565,0.9230687553546303,0.0,0.00016368854683962027,0.00016368854683962027,0.0,0.00018860167997727869,0.00018860167997727869,0
